Source,Branch,Type of Expenditure,Type,COUNTRY,Year,Unit Code,Unit,PowerCode,Value
Public,Active labour market programmes,Total,PCT_GDP,LUX,2010,PC,Percentage,Units,0.05
Public,Active labour market programmes,Total,PCT_GDP,LUX,2015,PC,Percentage,Units,0.06
Public,Active labour market programmes,Total,PCT_GDP,LUX,2019,PC,Percentage,Units,0.078
Public,Active labour market programmes,Total,PCT_GDP,MEX,2000,PC,Percentage,Units,0.001
Public,Active labour market programmes,Total,PCT_GDP,MEX,2005,PC,Percentage,Units,0.002
Public,Active labour market programmes,Total,PCT_GDP,MEX,2010,PC,Percentage,Units,0.002
Public,Active labour market programmes,Total,PCT_GDP,MEX,2015,PC,Percentage,Units,0.001
Public,Active labour market programmes,Total,PCT_GDP,MEX,2019,PC,Percentage,Units,0.001
Public,Active labour market programmes,Total,PCT_GDP,NLD,2000,PC,Percentage,Units,0.393
Public,Active labour market programmes,Total,PCT_GDP,NLD,2005,PC,Percentage,Units,0.361
Public,Active labour market programmes,Total,PCT_GDP,NLD,2010,PC,Percentage,Units,0.36
Public,Active labour market programmes,Total,PCT_GDP,NLD,2015,PC,Percentage,Units,0.242
Public,Active labour market programmes,Total,PCT_GDP,NLD,2019,PC,Percentage,Units,0.18
Public,Active labour market programmes,Total,PCT_GDP,NZL,2005,PC,Percentage,Units,0.137
Public,Active labour market programmes,Total,PCT_GDP,NZL,2010,PC,Percentage,Units,0.137
Public,Active labour market programmes,Total,PCT_GDP,NZL,2015,PC,Percentage,Units,0.112
Public,Active labour market programmes,Total,PCT_GDP,NZL,2019,PC,Percentage,Units,0.134
Public,Active labour market programmes,Total,PCT_GDP,NZL,2020,PC,Percentage,Units,0.146
Public,Active labour market programmes,Total,PCT_GDP,NOR,2000,PC,Percentage,Units,0.113
Public,Active labour market programmes,Total,PCT_GDP,NOR,2005,PC,Percentage,Units,0.117
Public,Active labour market programmes,Total,PCT_GDP,NOR,2010,PC,Percentage,Units,0.127
Public,Active labour market programmes,Total,PCT_GDP,NOR,2015,PC,Percentage,Units,0.13
Public,Active labour market programmes,Total,PCT_GDP,NOR,2019,PC,Percentage,Units,0.141
Public,Active labour market programmes,Total,PCT_GDP,POL,2000,PC,Percentage,Units,0.028
Public,Active labour market programmes,Total,PCT_GDP,POL,2005,PC,Percentage,Units,0.069
Public,Active labour market programmes,Total,PCT_GDP,POL,2010,PC,Percentage,Units,0.09
Public,Active labour market programmes,Total,PCT_GDP,POL,2015,PC,Percentage,Units,0.078
Public,Active labour market programmes,Total,PCT_GDP,POL,2019,PC,Percentage,Units,0.07
Public,Active labour market programmes,Total,PCT_GDP,PRT,2000,PC,Percentage,Units,0.13
Public,Active labour market programmes,Total,PCT_GDP,PRT,2005,PC,Percentage,Units,0.165
Public,Active labour market programmes,Total,PCT_GDP,PRT,2010,PC,Percentage,Units,0.133
Public,Active labour market programmes,Total,PCT_GDP,PRT,2015,PC,Percentage,Units,0.126
Public,Active labour market programmes,Total,PCT_GDP,PRT,2019,PC,Percentage,Units,0.094
Public,Active labour market programmes,Total,PCT_GDP,SVK,2000,PC,Percentage,Units,0.151
Public,Active labour market programmes,Total,PCT_GDP,SVK,2005,PC,Percentage,Units,0.166
Public,Active labour market programmes,Total,PCT_GDP,SVK,2010,PC,Percentage,Units,0.096
Public,Active labour market programmes,Total,PCT_GDP,SVK,2015,PC,Percentage,Units,0.033
Public,Active labour market programmes,Total,PCT_GDP,SVK,2019,PC,Percentage,Units,0.043
Public,Active labour market programmes,Total,PCT_GDP,ESP,2000,PC,Percentage,Units,0.079
Public,Active labour market programmes,Total,PCT_GDP,ESP,2005,PC,Percentage,Units,0.125
Public,Active labour market programmes,Total,PCT_GDP,ESP,2010,PC,Percentage,Units,0.163
Public,Active labour market programmes,Total,PCT_GDP,ESP,2015,PC,Percentage,Units,0.146
Public,Active labour market programmes,Total,PCT_GDP,ESP,2019,PC,Percentage,Units,0.13
Public,Active labour market programmes,Total,PCT_GDP,SWE,2000,PC,Percentage,Units,0.228
Public,Active labour market programmes,Total,PCT_GDP,SWE,2005,PC,Percentage,Units,0.206
Public,Active labour market programmes,Total,PCT_GDP,SWE,2010,PC,Percentage,Units,0.267
Public,Active labour market programmes,Total,PCT_GDP,SWE,2015,PC,Percentage,Units,0.252
Public,Active labour market programmes,Total,PCT_GDP,SWE,2019,PC,Percentage,Units,0.256
Public,Active labour market programmes,Total,PCT_GDP,CHE,2000,PC,Percentage,Units,0.098
Public,Active labour market programmes,Total,PCT_GDP,CHE,2005,PC,Percentage,Units,0.117
Public,Active labour market programmes,Total,PCT_GDP,CHE,2010,PC,Percentage,Units,0.109
Public,Active labour market programmes,Total,PCT_GDP,CHE,2015,PC,Percentage,Units,0.104
Public,Active labour market programmes,Total,PCT_GDP,CHE,2019,PC,Percentage,Units,0.105
Public,Active labour market programmes,Total,PCT_GDP,TUR,2000,PC,Percentage,Units,0.002
Public,Active labour market programmes,Total,PCT_GDP,TUR,2005,PC,Percentage,Units,0.005
Public,Active labour market programmes,Total,PCT_GDP,TUR,2010,PC,Percentage,Units,0.007
Public,Active labour market programmes,Total,PCT_GDP,TUR,2015,PC,Percentage,Units,0.015
Public,Active labour market programmes,Total,PCT_GDP,TUR,2019,PC,Percentage,Units,0.014
Public,Active labour market programmes,Total,PCT_GDP,GBR,2000,PC,Percentage,Units,0.138
Public,Active labour market programmes,Total,PCT_GDP,GBR,2005,PC,Percentage,Units,0.34
Public,Active labour market programmes,Total,PCT_GDP,GBR,2010,PC,Percentage,Units,0.303
Public,Active labour market programmes,Total,PCT_GDP,USA,2000,PC,Percentage,Units,0.037
Public,Active labour market programmes,Total,PCT_GDP,USA,2005,PC,Percentage,Units,0.03
Public,Active labour market programmes,Total,PCT_GDP,USA,2010,PC,Percentage,Units,0.045
Public,Active labour market programmes,Total,PCT_GDP,USA,2015,PC,Percentage,Units,0.022
Public,Active labour market programmes,Total,PCT_GDP,USA,2019,PC,Percentage,Units,0.017
Public,Active labour market programmes,Total,PCT_GDP,USA,2020,PC,Percentage,Units,0.025
Public,Active labour market programmes,Total,PCT_GDP,EST,2005,PC,Percentage,Units,0.022
Public,Active labour market programmes,Total,PCT_GDP,EST,2010,PC,Percentage,Units,0.091
Public,Active labour market programmes,Total,PCT_GDP,EST,2015,PC,Percentage,Units,0.113
Public,Active labour market programmes,Total,PCT_GDP,EST,2019,PC,Percentage,Units,0.146
Public,Active labour market programmes,Total,PCT_GDP,ISR,2000,PC,Percentage,Units,0.068
Public,Active labour market programmes,Total,PCT_GDP,ISR,2005,PC,Percentage,Units,0.046
Public,Active labour market programmes,Total,PCT_GDP,ISR,2010,PC,Percentage,Units,0.034
Public,Active labour market programmes,Total,PCT_GDP,ISR,2015,PC,Percentage,Units,0.023
Public,Active labour market programmes,Total,PCT_GDP,ISR,2019,PC,Percentage,Units,0.026
Public,Active labour market programmes,Total,PCT_GDP,ISR,2020,PC,Percentage,Units,0.031
Public,Active labour market programmes,Total,PCT_GDP,ISR,2021,PC,Percentage,Units,0.032
Public,Active labour market programmes,Total,PCT_GDP,SVN,2005,PC,Percentage,Units,0.097
Public,Active labour market programmes,Total,PCT_GDP,SVN,2010,PC,Percentage,Units,0.106
Public,Active labour market programmes,Total,PCT_GDP,SVN,2015,PC,Percentage,Units,0.08
Public,Active labour market programmes,Total,PCT_GDP,SVN,2019,PC,Percentage,Units,0.072
Public,Active labour market programmes,Total,PCT_GDP,AUS,2000,PC,Percentage,Units,0.009
Public,Active labour market programmes,Total,PCT_GDP,AUS,2005,PC,Percentage,Units,0.01
Public,Active labour market programmes,Total,PCT_GDP,AUS,2010,PC,Percentage,Units,0.024
Public,Active labour market programmes,Total,PCT_GDP,AUS,2015,PC,Percentage,Units,0.008
Public,Active labour market programmes,Total,PCT_GDP,AUS,2019,PC,Percentage,Units,0.007
Public,Active labour market programmes,Total,PCT_GDP,AUT,2000,PC,Percentage,Units,0.243
Public,Active labour market programmes,Total,PCT_GDP,AUT,2005,PC,Percentage,Units,0.315
Public,Active labour market programmes,Total,PCT_GDP,AUT,2010,PC,Percentage,Units,0.502
Public,Active labour market programmes,Total,PCT_GDP,AUT,2015,PC,Percentage,Units,0.462
Public,Active labour market programmes,Total,PCT_GDP,AUT,2019,PC,Percentage,Units,0.398
Public,Active labour market programmes,Total,PCT_GDP,BEL,2000,PC,Percentage,Units,0.131
Public,Active labour market programmes,Total,PCT_GDP,BEL,2005,PC,Percentage,Units,0.165
Public,Active labour market programmes,Total,PCT_GDP,BEL,2010,PC,Percentage,Units,0.167
Public,Active labour market programmes,Total,PCT_GDP,BEL,2015,PC,Percentage,Units,0.159
Public,Active labour market programmes,Total,PCT_GDP,BEL,2019,PC,Percentage,Units,0.171
Public,Active labour market programmes,Total,PCT_GDP,CAN,2000,PC,Percentage,Units,0.091
Public,Active labour market programmes,Total,PCT_GDP,CAN,2005,PC,Percentage,Units,0.104
Public,Active labour market programmes,Total,PCT_GDP,CAN,2010,PC,Percentage,Units,0.148
Public,Active labour market programmes,Total,PCT_GDP,CAN,2015,PC,Percentage,Units,0.085
Public,Active labour market programmes,Total,PCT_GDP,CAN,2019,PC,Percentage,Units,0.081
Public,Active labour market programmes,Total,PCT_GDP,CAN,2020,PC,Percentage,Units,0.077
Public,Active labour market programmes,Total,PCT_GDP,CZE,2000,PC,Percentage,Units,0.014
Public,Active labour market programmes,Total,PCT_GDP,CZE,2005,PC,Percentage,Units,0.012
Public,Active labour market programmes,Total,PCT_GDP,CZE,2010,PC,Percentage,Units,0.04
Public,Active labour market programmes,Total,PCT_GDP,CZE,2015,PC,Percentage,Units,0.022
Public,Active labour market programmes,Total,PCT_GDP,CZE,2019,PC,Percentage,Units,0.003
Public,Active labour market programmes,Total,PCT_GDP,DNK,2000,PC,Percentage,Units,0.752
Public,Active labour market programmes,Total,PCT_GDP,DNK,2005,PC,Percentage,Units,0.49
Public,Active labour market programmes,Total,PCT_GDP,DNK,2010,PC,Percentage,Units,0.683
Public,Active labour market programmes,Total,PCT_GDP,DNK,2015,PC,Percentage,Units,0.6
Public,Active labour market programmes,Total,PCT_GDP,DNK,2019,PC,Percentage,Units,0.357
Public,Active labour market programmes,Total,PCT_GDP,FIN,2000,PC,Percentage,Units,0.362
Public,Active labour market programmes,Total,PCT_GDP,FIN,2005,PC,Percentage,Units,0.373
Public,Active labour market programmes,Total,PCT_GDP,FIN,2010,PC,Percentage,Units,0.506
Public,Active labour market programmes,Total,PCT_GDP,FIN,2015,PC,Percentage,Units,0.475
Public,Active labour market programmes,Total,PCT_GDP,FIN,2019,PC,Percentage,Units,0.353
Public,Active labour market programmes,Total,PCT_GDP,FRA,2000,PC,Percentage,Units,0.373
Public,Active labour market programmes,Total,PCT_GDP,FRA,2005,PC,Percentage,Units,0.301
Public,Active labour market programmes,Total,PCT_GDP,FRA,2010,PC,Percentage,Units,0.327
Public,Active labour market programmes,Total,PCT_GDP,FRA,2015,PC,Percentage,Units,0.281
Public,Active labour market programmes,Total,PCT_GDP,FRA,2019,PC,Percentage,Units,0.269
Public,Active labour market programmes,Total,PCT_GDP,FRA,2020,PC,Percentage,Units,0.303
Public,Active labour market programmes,Total,PCT_GDP,DEU,2000,PC,Percentage,Units,0.526
Public,Active labour market programmes,Total,PCT_GDP,DEU,2005,PC,Percentage,Units,0.385
Public,Active labour market programmes,Total,PCT_GDP,DEU,2010,PC,Percentage,Units,0.273
Public,Active labour market programmes,Total,PCT_GDP,DEU,2015,PC,Percentage,Units,0.204
Public,Active labour market programmes,Total,PCT_GDP,DEU,2019,PC,Percentage,Units,0.182
Public,Active labour market programmes,Total,PCT_GDP,GRC,2000,PC,Percentage,Units,0.141
Public,Active labour market programmes,Total,PCT_GDP,GRC,2005,PC,Percentage,Units,0.036
Public,Active labour market programmes,Total,PCT_GDP,GRC,2010,PC,Percentage,Units,0.018
Public,Active labour market programmes,Total,PCT_GDP,GRC,2015,PC,Percentage,Units,0.044
Public,Active labour market programmes,Total,PCT_GDP,GRC,2019,PC,Percentage,Units,0.02
Public,Active labour market programmes,Total,PCT_GDP,HUN,2000,PC,Percentage,Units,0.064
Public,Active labour market programmes,Total,PCT_GDP,HUN,2005,PC,Percentage,Units,0.038
Public,Active labour market programmes,Total,PCT_GDP,HUN,2010,PC,Percentage,Units,0.048
Public,Active labour market programmes,Total,PCT_GDP,HUN,2015,PC,Percentage,Units,0.024
Public,Active labour market programmes,Total,PCT_GDP,HUN,2019,PC,Percentage,Units,0.025
Public,Active labour market programmes,Total,PCT_GDP,ISL,2000,PC,Percentage,Units,0.006
Public,Active labour market programmes,Total,PCT_GDP,ISL,2005,PC,Percentage,Units,0.013
Public,Active labour market programmes,Total,PCT_GDP,IRL,2000,PC,Percentage,Units,0.2
Public,Active labour market programmes,Total,PCT_GDP,IRL,2005,PC,Percentage,Units,0.244
Public,Active labour market programmes,Total,PCT_GDP,IRL,2010,PC,Percentage,Units,0.427
Public,Active labour market programmes,Total,PCT_GDP,IRL,2015,PC,Percentage,Units,0.219
Public,Active labour market programmes,Total,PCT_GDP,IRL,2019,PC,Percentage,Units,0.105
Public,Active labour market programmes,Total,PCT_GDP,ITA,2000,PC,Percentage,Units,0.237
Public,Active labour market programmes,Total,PCT_GDP,ITA,2005,PC,Percentage,Units,0.195
Public,Active labour market programmes,Total,PCT_GDP,ITA,2010,PC,Percentage,Units,0.145
Public,Active labour market programmes,Total,PCT_GDP,ITA,2015,PC,Percentage,Units,0.162
Public,Active labour market programmes,Total,PCT_GDP,ITA,2019,PC,Percentage,Units,0.126
Public,Active labour market programmes,Total,PCT_GDP,JPN,2000,PC,Percentage,Units,0.007
Public,Active labour market programmes,Total,PCT_GDP,JPN,2005,PC,Percentage,Units,0.004
Public,Active labour market programmes,Total,PCT_GDP,JPN,2010,PC,Percentage,Units,0.032
Public,Active labour market programmes,Total,PCT_GDP,JPN,2015,PC,Percentage,Units,0.01
Public,Active labour market programmes,Total,PCT_GDP,JPN,2019,PC,Percentage,Units,0.013
Public,Active labour market programmes,Total,PCT_GDP,JPN,2020,PC,Percentage,Units,0.013
Public,Active labour market programmes,Total,PCT_GDP,KOR,2000,PC,Percentage,Units,0.061
Public,Active labour market programmes,Total,PCT_GDP,KOR,2005,PC,Percentage,Units,0.037
Public,Active labour market programmes,Total,PCT_GDP,KOR,2010,PC,Percentage,Units,0.059
Public,Active labour market programmes,Total,PCT_GDP,KOR,2015,PC,Percentage,Units,0.033
Public,Active labour market programmes,Total,PCT_GDP,KOR,2019,PC,Percentage,Units,0.068
Public,Active labour market programmes,Total,PCT_GDP,LUX,2000,PC,Percentage,Units,0.068
Public,Active labour market programmes,Total,PCT_GDP,LUX,2005,PC,Percentage,Units,0.123
Public,Active labour market programmes,Total,PCT_GDP,LUX,2010,PC,Percentage,Units,0.036
Public,Active labour market programmes,Total,PCT_GDP,LUX,2015,PC,Percentage,Units,0.05
Public,Active labour market programmes,Total,PCT_GDP,LUX,2019,PC,Percentage,Units,0.183
Public,Active labour market programmes,Total,PCT_GDP,MEX,2000,PC,Percentage,Units,0.02
Public,Active labour market programmes,Total,PCT_GDP,MEX,2005,PC,Percentage,Units,0.01
Public,Active labour market programmes,Total,PCT_GDP,MEX,2010,PC,Percentage,Units,0.007
Public,Active labour market programmes,Total,PCT_GDP,MEX,2015,PC,Percentage,Units,0.003
Public,Active labour market programmes,Total,PCT_GDP,MEX,2019,PC,Percentage,Units,0.001
Public,Active labour market programmes,Total,PCT_GDP,NLD,2000,PC,Percentage,Units,0.096
Public,Active labour market programmes,Total,PCT_GDP,NLD,2005,PC,Percentage,Units,0.113
Public,Active labour market programmes,Total,PCT_GDP,NLD,2010,PC,Percentage,Units,0.126
Public,Active labour market programmes,Total,PCT_GDP,NLD,2015,PC,Percentage,Units,0.065
Public,Active labour market programmes,Total,PCT_GDP,NLD,2019,PC,Percentage,Units,0.056
Public,Active labour market programmes,Total,PCT_GDP,NZL,2005,PC,Percentage,Units,0.186
Public,Active labour market programmes,Total,PCT_GDP,NZL,2010,PC,Percentage,Units,0.117
Public,Active labour market programmes,Total,PCT_GDP,NZL,2015,PC,Percentage,Units,0.097
Public,Active labour market programmes,Total,PCT_GDP,NZL,2019,PC,Percentage,Units,0.053
Public,Active labour market programmes,Total,PCT_GDP,NZL,2020,PC,Percentage,Units,0.064
Public,Active labour market programmes,Total,PCT_GDP,NOR,2000,PC,Percentage,Units,0.313
Public,Active labour market programmes,Total,PCT_GDP,NOR,2005,PC,Percentage,Units,0.359
Public,Active labour market programmes,Total,PCT_GDP,NOR,2010,PC,Percentage,Units,0.213
Public,Active labour market programmes,Total,PCT_GDP,NOR,2015,PC,Percentage,Units,0.103
Public,Active labour market programmes,Total,PCT_GDP,NOR,2019,PC,Percentage,Units,0.086
Public,Active labour market programmes,Total,PCT_GDP,POL,2000,PC,Percentage,Units,0.075
Public,Active labour market programmes,Total,PCT_GDP,POL,2005,PC,Percentage,Units,0.099
Public,Active labour market programmes,Total,PCT_GDP,POL,2010,PC,Percentage,Units,0.036
Public,Active labour market programmes,Total,PCT_GDP,POL,2015,PC,Percentage,Units,0.012
Public,Active labour market programmes,Total,PCT_GDP,POL,2019,PC,Percentage,Units,0.005
Public,Active labour market programmes,Total,PCT_GDP,PRT,2000,PC,Percentage,Units,0.214
Public,Active labour market programmes,Total,PCT_GDP,PRT,2005,PC,Percentage,Units,0.272
Public,Active labour market programmes,Total,PCT_GDP,PRT,2010,PC,Percentage,Units,0.384
Public,Active labour market programmes,Total,PCT_GDP,PRT,2015,PC,Percentage,Units,0.267
Public,Active labour market programmes,Total,PCT_GDP,PRT,2019,PC,Percentage,Units,0.18
Public,Active labour market programmes,Total,PCT_GDP,SVK,2000,PC,Percentage,Units,0.003
Public,Active labour market programmes,Total,PCT_GDP,SVK,2005,PC,Percentage,Units,0.024
Public,Active labour market programmes,Total,PCT_GDP,SVK,2010,PC,Percentage,Units,0.005
Public,Active labour market programmes,Total,PCT_GDP,SVK,2015,PC,Percentage,Units,0.01
Public,Active labour market programmes,Total,PCT_GDP,SVK,2019,PC,Percentage,Units,0.02
Public,Active labour market programmes,Total,PCT_GDP,ESP,2000,PC,Percentage,Units,0.182
Public,Active labour market programmes,Total,PCT_GDP,ESP,2005,PC,Percentage,Units,0.166
Public,Active labour market programmes,Total,PCT_GDP,ESP,2010,PC,Percentage,Units,0.194
Public,Active labour market programmes,Total,PCT_GDP,ESP,2015,PC,Percentage,Units,0.114
Public,Active labour market programmes,Total,PCT_GDP,ESP,2019,PC,Percentage,Units,0.107
Public,Active labour market programmes,Total,PCT_GDP,SWE,2000,PC,Percentage,Units,0.599
Public,Active labour market programmes,Total,PCT_GDP,SWE,2005,PC,Percentage,Units,0.192
Public,Active labour market programmes,Total,PCT_GDP,SWE,2010,PC,Percentage,Units,0.095
Public,Active labour market programmes,Total,PCT_GDP,SWE,2015,PC,Percentage,Units,0.143
Public,Active labour market programmes,Total,PCT_GDP,SWE,2019,PC,Percentage,Units,0.062
Public,Active labour market programmes,Total,PCT_GDP,CHE,2000,PC,Percentage,Units,0.149
Public,Active labour market programmes,Total,PCT_GDP,CHE,2005,PC,Percentage,Units,0.249
Public,Active labour market programmes,Total,PCT_GDP,CHE,2010,PC,Percentage,Units,0.193
Public,Active labour market programmes,Total,PCT_GDP,CHE,2015,PC,Percentage,Units,0.171
Public,Active labour market programmes,Total,PCT_GDP,CHE,2019,PC,Percentage,Units,0.146
Public,Active labour market programmes,Total,PCT_GDP,TUR,2000,PC,Percentage,Units,0.006
Public,Active labour market programmes,Total,PCT_GDP,TUR,2005,PC,Percentage,Units,0.002
Public,Active labour market programmes,Total,PCT_GDP,TUR,2010,PC,Percentage,Units,0.021
Public,Active labour market programmes,Total,PCT_GDP,TUR,2015,PC,Percentage,Units,0.008
Public,Active labour market programmes,Total,PCT_GDP,TUR,2019,PC,Percentage,Units,0.001
Public,Active labour market programmes,Total,PCT_GDP,GBR,2000,PC,Percentage,Units,0.038
Public,Active labour market programmes,Total,PCT_GDP,GBR,2005,PC,Percentage,Units,0.02
Public,Active labour market programmes,Total,PCT_GDP,GBR,2010,PC,Percentage,Units,0.016
