Financingscheme,Function,Measure,Country,Year,Value in %
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Portugal,2013,5.863
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Portugal,2014,5.774
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Portugal,2015,5.751
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Portugal,2016,5.793
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Portugal,2017,5.698
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Portugal,2018,5.763
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Portugal,2019,5.789
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Portugal,2020,6.807
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Portugal,2021,7.171
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Netherlands,2010,8.467
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Netherlands,2011,8.459
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Netherlands,2012,8.654
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Netherlands,2013,8.588
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Netherlands,2014,8.568
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Netherlands,2015,8.402
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Netherlands,2016,8.358
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Netherlands,2017,8.257
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Netherlands,2018,8.227
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Netherlands,2019,8.382
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Netherlands,2020,9.455
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Netherlands,2021,9.551
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Korea,2010,3.605
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Korea,2011,3.607
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Korea,2012,3.626
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Korea,2013,3.694
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Korea,2014,3.81
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Korea,2015,3.919
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Korea,2016,4.082
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Korea,2017,4.223
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Korea,2018,4.517
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Korea,2019,4.964
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Korea,2020,5.234
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Korea,2021,5.685
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Mexico,2010,2.881
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Mexico,2011,2.914
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Mexico,2012,3.007
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Mexico,2013,3.123
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Mexico,2014,2.892
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Mexico,2015,2.987
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Mexico,2016,2.848
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Mexico,2017,2.758
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Mexico,2018,2.672
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Mexico,2019,2.678
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Mexico,2020,3.302
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Australia,2010,5.781
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Australia,2011,5.911
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Australia,2012,5.859
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Australia,2013,5.685
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Australia,2014,6.658
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Australia,2015,6.985
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Australia,2016,6.942
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Australia,2017,6.991
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Australia,2018,7.009
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Australia,2019,7.361
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Australia,2020,7.612
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Luxembourg,2010,5.657
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Luxembourg,2011,4.95
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Luxembourg,2012,4.386
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Luxembourg,2013,4.35
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Luxembourg,2014,4.366
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Luxembourg,2015,4.251
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Luxembourg,2016,4.24
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Luxembourg,2017,4.311
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Luxembourg,2018,4.421
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Luxembourg,2019,4.623
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Luxembourg,2020,4.985
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Czech Republic,2010,5.729
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Czech Republic,2011,5.811
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Czech Republic,2012,5.844
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Czech Republic,2013,6.457
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Czech Republic,2014,6.282
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Czech Republic,2015,5.928
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Czech Republic,2016,5.826
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Czech Republic,2017,6.228
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Czech Republic,2018,6.342
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Czech Republic,2019,6.463
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Czech Republic,2020,8.102
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Ireland,2010,8.018
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Ireland,2011,7.643
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Ireland,2012,7.625
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Ireland,2013,7.277
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Ireland,2014,6.778
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Ireland,2015,5.269
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Ireland,2016,5.415
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Ireland,2017,5.215
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Ireland,2018,5.1
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Ireland,2019,4.98
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Ireland,2020,5.598
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Ireland,2021,5.275
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Denmark,2010,8.939
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Denmark,2011,8.735
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Denmark,2012,8.877
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Denmark,2013,8.724
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Denmark,2014,8.705
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Denmark,2015,8.715
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Denmark,2016,8.63
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Denmark,2017,8.478
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Denmark,2018,8.457
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Denmark,2019,8.473
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Denmark,2020,8.934
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Denmark,2021,9.264
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Lithuania,2010,4.887
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Lithuania,2011,4.606
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Lithuania,2012,4.225
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Lithuania,2013,4.058
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Lithuania,2014,4.184
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Lithuania,2015,4.358
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Lithuania,2016,4.42
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Lithuania,2017,4.275
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Lithuania,2018,4.387
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Lithuania,2019,4.646
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Lithuania,2020,5.287
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Lithuania,2021,5.507
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Colombia,2010,5.29
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Colombia,2011,5.15
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Colombia,2012,4.984
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Colombia,2013,5.304
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Colombia,2014,5.474
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Colombia,2015,5.741
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Colombia,2016,5.731
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Colombia,2017,5.882
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Colombia,2018,5.892
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Colombia,2019,6.284
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Colombia,2020,7.07
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Estonia,2010,4.826
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Estonia,2011,4.463
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Estonia,2012,4.471
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Estonia,2013,4.549
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Estonia,2014,4.76
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Estonia,2015,4.961
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Estonia,2016,5.003
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Estonia,2017,4.854
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Estonia,2018,4.952
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Estonia,2019,5.081
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Estonia,2020,5.981
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Estonia,2021,5.86
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Chile,2010,3.999
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Chile,2011,4.026
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Chile,2012,4.212
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Chile,2013,4.419
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Chile,2014,4.602
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Chile,2015,4.878
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Chile,2016,4.983
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Chile,2017,5.454
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Chile,2018,5.524
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Chile,2019,5.656
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Chile,2020,6.354
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Chile,2021,5.834
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Latvia,2010,3.67
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Latvia,2011,3.635
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Latvia,2012,3.265
