Branch,TypeofExpenditure,COUNTRY,Year,UnitCode,Value in Millions
Active labour market programmes,Total,Iceland,2019,USD,14.0
Active labour market programmes,Total,Ireland,2000,USD,152.0
Active labour market programmes,Total,Ireland,2005,USD,214.0
Active labour market programmes,Total,Ireland,2010,USD,308.0
Active labour market programmes,Total,Ireland,2015,USD,255.0
Active labour market programmes,Total,Ireland,2019,USD,176.0
Active labour market programmes,Total,Italy,2000,USD,3.0
Active labour market programmes,Total,Italy,2005,USD,1262.0
Active labour market programmes,Total,Italy,2010,USD,1759.0
Active labour market programmes,Total,Italy,2015,USD,1587.0
Active labour market programmes,Total,Italy,2019,USD,1346.0
Active labour market programmes,Total,Japan,2000,USD,4702.0
Active labour market programmes,Total,Japan,2005,USD,2791.0
Active labour market programmes,Total,Japan,2010,USD,1916.0
Active labour market programmes,Total,Japan,2015,USD,2606.0
Active labour market programmes,Total,Japan,2019,USD,2527.0
Active labour market programmes,Total,Japan,2020,USD,2633.0
Active labour market programmes,Total,Korea,2000,USD,72.0
Active labour market programmes,Total,Korea,2005,USD,172.0
Active labour market programmes,Total,Korea,2010,USD,142.0
Active labour market programmes,Total,Korea,2015,USD,425.0
Active labour market programmes,Total,Korea,2019,USD,655.0
Active labour market programmes,Total,Luxembourg,2000,USD,13.0
Active labour market programmes,Total,Luxembourg,2005,USD,15.0
Active labour market programmes,Total,Luxembourg,2010,USD,23.0
Active labour market programmes,Total,Luxembourg,2015,USD,36.0
Active labour market programmes,Total,Luxembourg,2019,USD,53.0
Active labour market programmes,Total,Mexico,2000,USD,5.0
Active labour market programmes,Total,Mexico,2005,USD,10.0
Active labour market programmes,Total,Mexico,2010,USD,13.0
Active labour market programmes,Total,Mexico,2015,USD,15.0
Active labour market programmes,Total,Mexico,2019,USD,12.0
Active labour market programmes,Total,Netherlands,2000,USD,1939.0
Active labour market programmes,Total,Netherlands,2005,USD,2170.0
Active labour market programmes,Total,Netherlands,2010,USD,2508.0
Active labour market programmes,Total,Netherlands,2015,USD,1819.0
Active labour market programmes,Total,Netherlands,2019,USD,1599.0
Active labour market programmes,Total,New Zealand,2005,USD,136.0
Active labour market programmes,Total,New Zealand,2010,USD,169.0
Active labour market programmes,Total,New Zealand,2015,USD,174.0
Active labour market programmes,Total,New Zealand,2019,USD,265.0
Active labour market programmes,Total,New Zealand,2020,USD,291.0
Active labour market programmes,Total,Norway,2000,USD,159.0
Active labour market programmes,Total,Norway,2005,USD,216.0
Active labour market programmes,Total,Norway,2010,USD,306.0
Active labour market programmes,Total,Norway,2015,USD,376.0
Active labour market programmes,Total,Norway,2019,USD,468.0
Active labour market programmes,Total,Poland,2000,USD,52.0
Active labour market programmes,Total,Poland,2005,USD,170.0
Active labour market programmes,Total,Poland,2010,USD,327.0
Active labour market programmes,Total,Poland,2015,USD,353.0
Active labour market programmes,Total,Poland,2019,USD,399.0
Active labour market programmes,Total,Portugal,2000,USD,182.0
Active labour market programmes,Total,Portugal,2005,USD,285.0
Active labour market programmes,Total,Portugal,2010,USD,260.0
Active labour market programmes,Total,Portugal,2015,USD,246.0
Active labour market programmes,Total,Portugal,2019,USD,219.0
Active labour market programmes,Total,Slovakia,2000,USD,52.0
Active labour market programmes,Total,Slovakia,2005,USD,91.0
Active labour market programmes,Total,Slovakia,2010,USD,72.0
Active labour market programmes,Total,Slovakia,2015,USD,29.0
Active labour market programmes,Total,Slovakia,2019,USD,44.0
Active labour market programmes,Total,Spain,2000,USD,556.0
Active labour market programmes,Total,Spain,2005,USD,1262.0
Active labour market programmes,Total,Spain,2010,USD,1903.0
Active labour market programmes,Total,Spain,2015,USD,1713.0
Active labour market programmes,Total,Spain,2019,USD,1764.0
Active labour market programmes,Total,Sweden,2000,USD,510.0
Active labour market programmes,Total,Sweden,2005,USD,563.0
Active labour market programmes,Total,Sweden,2010,USD,888.0
Active labour market programmes,Total,Sweden,2015,USD,998.0
Active labour market programmes,Total,Sweden,2019,USD,1200.0
Active labour market programmes,Total,Switzerland,2000,USD,517.0
Active labour market programmes,Total,Switzerland,2005,USD,689.0
Active labour market programmes,Total,Switzerland,2010,USD,772.0
Active labour market programmes,Total,Switzerland,2015,USD,786.0
Active labour market programmes,Total,Switzerland,2019,USD,852.0
Active labour market programmes,Total,Turkey,2000,USD,0.0
Active labour market programmes,Total,Turkey,2005,USD,1.0
Active labour market programmes,Total,Turkey,2010,USD,3.0
Active labour market programmes,Total,Turkey,2015,USD,13.0
Active labour market programmes,Total,Turkey,2019,USD,23.0
Active labour market programmes,Total,United Kingdom,2000,USD,1944.0
Active labour market programmes,Total,United Kingdom,2005,USD,6118.0
Active labour market programmes,Total,United Kingdom,2010,USD,6265.0
Active labour market programmes,Total,USA,2000,USD,3754
Active labour market programmes,Total,USA,2005,USD,3845
Active labour market programmes,Total,USA,2010,USD,6645
Active labour market programmes,Total,USA,2015,USD,3928
Active labour market programmes,Total,USA,2019,USD,3694
Active labour market programmes,Total,USA,2020,USD,5219
Active labour market programmes,Total,Estonia,2005,USD,3.0
Active labour market programmes,Total,Estonia,2010,USD,15.0
Active labour market programmes,Total,Estonia,2015,USD,25.0
Active labour market programmes,Total,Estonia,2019,USD,44.0
Active labour market programmes,Total,Israel,2000,USD,101.0
Active labour market programmes,Total,Israel,2005,USD,83.0
Active labour market programmes,Total,Israel,2010,USD,81.0
Active labour market programmes,Total,Israel,2015,USD,74.0
Active labour market programmes,Total,Israel,2019,USD,101.0
Active labour market programmes,Total,Israel,2020,USD,117.0
Active labour market programmes,Total,Israel,2021,USD,138.0
Active labour market programmes,Total,Slovenia,2005,USD,31.0
Active labour market programmes,Total,Slovenia,2010,USD,42.0
Active labour market programmes,Total,Slovenia,2015,USD,34.0
Active labour market programmes,Total,Slovenia,2019,USD,38.0
Active labour market programmes,Total,Australia,2000,USD,42.0
Active labour market programmes,Total,Australia,2005,USD,64.0
Active labour market programmes,Total,Australia,2010,USD,232.0
Active labour market programmes,Total,Australia,2015,USD,85.0
Active labour market programmes,Total,Australia,2019,USD,91.0
Active labour market programmes,Total,Austria,2000,USD,567.0
Active labour market programmes,Total,Austria,2005,USD,872.0
Active labour market programmes,Total,Austria,2010,USD,1618.0
Active labour market programmes,Total,Austria,2015,USD,1732.0
Active labour market programmes,Total,Austria,2019,USD,1726.0
Active labour market programmes,Total,Belgium,2000,USD,367.0
Active labour market programmes,Total,Belgium,2005,USD,558.0
Active labour market programmes,Total,Belgium,2010,USD,662.0
Active labour market programmes,Total,Belgium,2015,USD,723.0
Active labour market programmes,Total,Belgium,2019,USD,893.0
Active labour market programmes,Total,Canada,2000,USD,770.0
Active labour market programmes,Total,Canada,2005,USD,1137.0
Active labour market programmes,Total,Canada,2010,USD,1898.0
Active labour market programmes,Total,Canada,2015,USD,1287.0
Active labour market programmes,Total,Canada,2019,USD,1405.0
Active labour market programmes,Total,Canada,2020,USD,1337.0
Active labour market programmes,Total,Czech Republic,2000,USD,16.0
Active labour market programmes,Total,Czech Republic,2005,USD,19.0
Active labour market programmes,Total,Czech Republic,2010,USD,73.0
Active labour market programmes,Total,Czech Republic,2015,USD,47.0
Active labour market programmes,Total,Czech Republic,2019,USD,7.0
Active labour market programmes,Total,Denmark,2000,USD,1496.0
Active labour market programmes,Total,Denmark,2005,USD,1166.0
Active labour market programmes,Total,Denmark,2010,USD,1855.0
Active labour market programmes,Total,Denmark,2015,USD,1834.0
Active labour market programmes,Total,Denmark,2019,USD,1236.0
Active labour market programmes,Total,Finland,2000,USD,539.0
Active labour market programmes,Total,Finland,2005,USD,669.0
Active labour market programmes,Total,Finland,2010,USD,1037.0
Active labour market programmes,Total,Finland,2015,USD,1095.0
Active labour market programmes,Total,Finland,2019,USD,923.0
Active labour market programmes,Total,France,2000,USD,6015.0
Active labour market programmes,Total,France,2005,USD,5788.0
Active labour market programmes,Total,France,2010,USD,7113.0
Active labour market programmes,Total,France,2015,USD,6744.0
Active labour market programmes,Total,France,2019,USD,7155.0
Active labour market programmes,Total,France,2020,USD,7632.0
Active labour market programmes,Total,Germany,2000,USD,12088.0
Active labour market programmes,Total,Germany,2005,USD,9610.0
Active labour market programmes,Total,Germany,2010,USD,7624.0
Active labour market programmes,Total,Germany,2015,USD,6736.0
Active labour market programmes,Total,Germany,2019,USD,6876.0
Active labour market programmes,Total,Greece,2000,USD,218.0
Active labour market programmes,Total,Greece,2005,USD,78.0
Active labour market programmes,Total,Greece,2010,USD,43.0
Active labour market programmes,Total,Greece,2015,USD,85.0
Active labour market programmes,Total,Greece,2019,USD,40.0
Active labour market programmes,Total,Hungary,2000,USD,25.0
Active labour market programmes,Total,Hungary,2005,USD,25.0
Active labour market programmes,Total,Hungary,2010,USD,38.0
Active labour market programmes,Total,Hungary,2015,USD,25.0
Active labour market programmes,Total,Hungary,2019,USD,34.0
Active labour market programmes,Total,Iceland,2000,USD,0.0
Active labour market programmes,Total,Iceland,2005,USD,1.0
Active labour market programmes,Total,Iceland,2019,USD,0.0
Active labour market programmes,Total,Ireland,2000,USD,237.0
Active labour market programmes,Total,Ireland,2005,USD,454.0
Active labour market programmes,Total,Ireland,2010,USD,778.0
Active labour market programmes,Total,Ireland,2015,USD,629.0
Active labour market programmes,Total,Ireland,2019,USD,407.0
Active labour market programmes,Total,Italy,2000,USD,3206.0
Active labour market programmes,Total,Italy,2005,USD,3176.0
Active labour market programmes,Total,Italy,2010,USD,2552.0
Active labour market programmes,Total,Italy,2015,USD,2916.0
Active labour market programmes,Total,Italy,2019,USD,2465.0
Active labour market programmes,Total,Japan,2000,USD,262.0
Active labour market programmes,Total,Japan,2005,USD,138.0
Active labour market programmes,Total,Japan,2010,USD,1099.0
Active labour market programmes,Total,Japan,2015,USD,363.0
Active labour market programmes,Total,Japan,2019,USD,507.0
Active labour market programmes,Total,Japan,2020,USD,474.0
Active labour market programmes,Total,Korea,2000,USD,304.0
Active labour market programmes,Total,Korea,2005,USD,266.0
Active labour market programmes,Total,Korea,2010,USD,597.0
Active labour market programmes,Total,Korea,2015,USD,418.0
Active labour market programmes,Total,Korea,2019,USD,997.0
Active labour market programmes,Total,Luxembourg,2000,USD,17.0
Active labour market programmes,Total,Luxembourg,2005,USD,40.0
Active labour market programmes,Total,Luxembourg,2010,USD,17.0
Active labour market programmes,Total,Luxembourg,2015,USD,29.0
Active labour market programmes,Total,Luxembourg,2019,USD,125.0
Active labour market programmes,Total,Mexico,2000,USD,77.0
Active labour market programmes,Total,Mexico,2005,USD,57.0
Active labour market programmes,Total,Mexico,2010,USD,52.0
Active labour market programmes,Total,Mexico,2015,USD,31.0
Active labour market programmes,Total,Mexico,2019,USD,15.0
Active labour market programmes,Total,Netherlands,2000,USD,474.0
Active labour market programmes,Total,Netherlands,2005,USD,677.0
Active labour market programmes,Total,Netherlands,2010,USD,876.0
Active labour market programmes,Total,Netherlands,2015,USD,492.0
Active labour market programmes,Total,Netherlands,2019,USD,497.0
Active labour market programmes,Total,New Zealand,2005,USD,185.0
Active labour market programmes,Total,New Zealand,2010,USD,146.0
Active labour market programmes,Total,New Zealand,2015,USD,151.0
Active labour market programmes,Total,New Zealand,2019,USD,104.0
Active labour market programmes,Total,New Zealand,2020,USD,128.0
Active labour market programmes,Total,Norway,2000,USD,438.0
Active labour market programmes,Total,Norway,2005,USD,664.0
Active labour market programmes,Total,Norway,2010,USD,514.0
Active labour market programmes,Total,Norway,2015,USD,297.0
Active labour market programmes,Total,Norway,2019,USD,286.0
Active labour market programmes,Total,Poland,2000,USD,140.0
Active labour market programmes,Total,Poland,2005,USD,246.0
Active labour market programmes,Total,Poland,2010,USD,128.0
Active labour market programmes,Total,Poland,2015,USD,55.0
Active labour market programmes,Total,Poland,2019,USD,27.0
Active labour market programmes,Total,Portugal,2000,USD,299.0
Active labour market programmes,Total,Portugal,2005,USD,470.0
Active labour market programmes,Total,Portugal,2010,USD,752.0
Active labour market programmes,Total,Portugal,2015,USD,523.0
Active labour market programmes,Total,Portugal,2019,USD,421.0
Active labour market programmes,Total,Slovakia,2000,USD,1.0
Active labour market programmes,Total,Slovakia,2005,USD,13.0
Active labour market programmes,Total,Slovakia,2010,USD,4.0
Active labour market programmes,Total,Slovakia,2015,USD,8.0
Active labour market programmes,Total,Slovakia,2019,USD,20.0
Active labour market programmes,Total,Spain,2000,USD,1283.0
Active labour market programmes,Total,Spain,2005,USD,1679.0
Active labour market programmes,Total,Spain,2010,USD,2266.0
Active labour market programmes,Total,Spain,2015,USD,1342.0
Active labour market programmes,Total,Spain,2019,USD,1449.0
Active labour market programmes,Total,Sweden,2000,USD,1341.0
Active labour market programmes,Total,Sweden,2005,USD,524.0
Active labour market programmes,Total,Sweden,2010,USD,316.0
Active labour market programmes,Total,Sweden,2015,USD,567.0
Active labour market programmes,Total,Sweden,2019,USD,290.0
Active labour market programmes,Total,Switzerland,2000,USD,790.0
Active labour market programmes,Total,Switzerland,2005,USD,1462.0
Active labour market programmes,Total,Switzerland,2010,USD,1361.0
Active labour market programmes,Total,Switzerland,2015,USD,1293.0
Active labour market programmes,Total,Switzerland,2019,USD,1189.0
Active labour market programmes,Total,Turkey,2000,USD,0.0
Active labour market programmes,Total,Turkey,2005,USD,0.0
Active labour market programmes,Total,Turkey,2010,USD,10.0
Active labour market programmes,Total,Turkey,2015,USD,7.0
Active labour market programmes,Total,Turkey,2019,USD,2.0
Active labour market programmes,Total,United Kingdom,2000,USD,536.0
Active labour market programmes,Total,United Kingdom,2005,USD,368.0
Active labour market programmes,Total,United Kingdom,2010,USD,334.0
Active labour market programmes,Total,USA,2000,USD,6250
Active labour market programmes,Total,USA,2005,USD,6177
Active labour market programmes,Total,USA,2010,USD,7248
Active labour market programmes,Total,USA,2015,USD,6218
Active labour market programmes,Total,USA,2019,USD,6169
Active labour market programmes,Total,USA,2020,USD,6826
Active labour market programmes,Total,Chile,2000,USD,81.0
Active labour market programmes,Total,Chile,2005,USD,91.0
Active labour market programmes,Total,Chile,2010,USD,179.0
Active labour market programmes,Total,Chile,2015,USD,368.0
Active labour market programmes,Total,Chile,2019,USD,343.0
Active labour market programmes,Total,Chile,2020,USD,331.0
Active labour market programmes,Total,Chile,2021,USD,302.0
Active labour market programmes,Total,Estonia,2005,USD,4.0
Active labour market programmes,Total,Estonia,2010,USD,8.0
Active labour market programmes,Total,Estonia,2015,USD,17.0
Active labour market programmes,Total,Estonia,2019,USD,36.0
Active labour market programmes,Total,Israel,2000,USD,194.0
Active labour market programmes,Total,Israel,2005,USD,156.0
Active labour market programmes,Total,Israel,2010,USD,178.0
Active labour market programmes,Total,Israel,2015,USD,225.0
Active labour market programmes,Total,Israel,2019,USD,263.0
Active labour market programmes,Total,Israel,2020,USD,283.0
Active labour market programmes,Total,Israel,2021,USD,286.0
Active labour market programmes,Total,Slovenia,2005,USD,16.0
Active labour market programmes,Total,Slovenia,2010,USD,48.0
Active labour market programmes,Total,Slovenia,2015,USD,17.0
Active labour market programmes,Total,Slovenia,2019,USD,20.0
Active labour market programmes,Total,Australia,2000,USD,30.0
Active labour market programmes,Total,Australia,2005,USD,67.0
Active labour market programmes,Total,Australia,2010,USD,113.0
Active labour market programmes,Total,Australia,2015,USD,14.0
Active labour market programmes,Total,Australia,2019,USD,21382.0
Active labour market programmes,Total,Austria,2000,USD,148.0
Active labour market programmes,Total,Austria,2005,USD,141.0
Active labour market programmes,Total,Austria,2010,USD,177.0
Active labour market programmes,Total,Austria,2015,USD,148.0
Active labour market programmes,Total,Austria,2019,USD,247.0
Active labour market programmes,Total,Belgium,2000,USD,651.0
Active labour market programmes,Total,Belgium,2005,USD,461.0
Active labour market programmes,Total,Belgium,2010,USD,582.0
Active labour market programmes,Total,Belgium,2015,USD,731.0
Active labour market programmes,Total,Belgium,2019,USD,1194.0
Active labour market programmes,Total,Canada,2000,USD,98.0
Active labour market programmes,Total,Canada,2005,USD,73.0
Active labour market programmes,Total,Canada,2010,USD,58.0
Active labour market programmes,Total,Canada,2015,USD,85.0
Active labour market programmes,Total,Canada,2019,USD,3583.0
Active labour market programmes,Total,Canada,2020,USD,59558.0
Active labour market programmes,Total,Czech Republic,2000,USD,54.0
Active labour market programmes,Total,Czech Republic,2005,USD,57.0
Active labour market programmes,Total,Czech Republic,2010,USD,88.0
Active labour market programmes,Total,Czech Republic,2015,USD,264.0
Active labour market programmes,Total,Czech Republic,2019,USD,31.0
Active labour market programmes,Total,Denmark,2000,USD,703.0
Active labour market programmes,Total,Denmark,2005,USD,554.0
Active labour market programmes,Total,Denmark,2010,USD,836.0
Active labour market programmes,Total,Denmark,2015,USD,858.0
Active labour market programmes,Total,Denmark,2019,USD,602.0
Active labour market programmes,Total,Finland,2000,USD,244.0
Active labour market programmes,Total,Finland,2005,USD,271.0
Active labour market programmes,Total,Finland,2010,USD,248.0
Active labour market programmes,Total,Finland,2015,USD,273.0
Active labour market programmes,Total,Finland,2019,USD,207.0
Active labour market programmes,Total,France,2000,USD,2422.0
Active labour market programmes,Total,France,2005,USD,1939.0
Active labour market programmes,Total,France,2010,USD,1403.0
Active labour market programmes,Total,France,2015,USD,1137.0
Active labour market programmes,Total,France,2019,USD,524.0
Active labour market programmes,Total,France,2020,USD,512.0
Active labour market programmes,Total,Germany,2000,USD,2066.0
Active labour market programmes,Total,Germany,2005,USD,1567.0
Active labour market programmes,Total,Germany,2010,USD,2766.0
Active labour market programmes,Total,Germany,2015,USD,825.0
Active labour market programmes,Total,Germany,2019,USD,938.0
Active labour market programmes,Total,Greece,2000,USD,95.0
Active labour market programmes,Total,Greece,2005,USD,40.0
Active labour market programmes,Total,Greece,2010,USD,263.0
Active labour market programmes,Total,Greece,2015,USD,183.0
Active labour market programmes,Total,Greece,2019,USD,200.0
Active labour market programmes,Total,Hungary,2000,USD,25.0
Active labour market programmes,Total,Hungary,2005,USD,64.0
Active labour market programmes,Total,Hungary,2010,USD,79.0
Active labour market programmes,Total,Hungary,2015,USD,53.0
Active labour market programmes,Total,Hungary,2019,USD,167.0
Active labour market programmes,Total,Ireland,2000,USD,151.0
Active labour market programmes,Total,Ireland,2005,USD,93.0
Active labour market programmes,Total,Ireland,2010,USD,97.0
Active labour market programmes,Total,Ireland,2015,USD,144.0
Active labour market programmes,Total,Ireland,2019,USD,67.0
Active labour market programmes,Total,Italy,2000,USD,3012.0
Active labour market programmes,Total,Italy,2005,USD,3244.0
Active labour market programmes,Total,Italy,2010,USD,2497.0
Active labour market programmes,Total,Italy,2015,USD,3963.0
Active labour market programmes,Total,Italy,2019,USD,1364.0
Active labour market programmes,Total,Japan,2000,USD,1734.0
Active labour market programmes,Total,Japan,2005,USD,1518.0
Active labour market programmes,Total,Japan,2010,USD,4140.0
Active labour market programmes,Total,Japan,2015,USD,2085.0
Active labour market programmes,Total,Japan,2019,USD,2236.0
Active labour market programmes,Total,Japan,2020,USD,24137.0
Active labour market programmes,Total,Korea,2000,USD,53.0
Active labour market programmes,Total,Korea,2005,USD,127.0
Active labour market programmes,Total,Korea,2010,USD,197.0
Active labour market programmes,Total,Korea,2015,USD,510.0
Active labour market programmes,Total,Korea,2019,USD,1269.0
Active labour market programmes,Total,Luxembourg,2000,USD,14.0
Active labour market programmes,Total,Luxembourg,2005,USD,62.0
Active labour market programmes,Total,Luxembourg,2010,USD,139.0
Active labour market programmes,Total,Luxembourg,2015,USD,221.0
Active labour market programmes,Total,Luxembourg,2019,USD,246.0
Active labour market programmes,Total,Mexico,2010,USD,8.0
Active labour market programmes,Total,Mexico,2015,USD,4.0
Active labour market programmes,Total,Mexico,2019,USD,2.0
Active labour market programmes,Total,Netherlands,2000,USD,235.0
Active labour market programmes,Total,Netherlands,2005,USD,131.0
Active labour market programmes,Total,Netherlands,2010,USD,112.0
Active labour market programmes,Total,Netherlands,2015,USD,352.0
Active labour market programmes,Total,Netherlands,2019,USD,180.0
Active labour market programmes,Total,New Zealand,2005,USD,23.0
Active labour market programmes,Total,New Zealand,2010,USD,20.0
Active labour market programmes,Total,New Zealand,2015,USD,17.0
Active labour market programmes,Total,New Zealand,2019,USD,7436.0
Active labour market programmes,Total,New Zealand,2020,USD,758.0
Active labour market programmes,Total,Norway,2000,USD,115.0
Active labour market programmes,Total,Norway,2005,USD,183.0
Active labour market programmes,Total,Norway,2010,USD,213.0
Active labour market programmes,Total,Norway,2015,USD,243.0
Active labour market programmes,Total,Norway,2019,USD,221.0
Active labour market programmes,Total,Poland,2000,USD,62.0
Active labour market programmes,Total,Poland,2005,USD,75.0
Active labour market programmes,Total,Poland,2010,USD,759.0
Active labour market programmes,Total,Poland,2015,USD,596.0
Active labour market programmes,Total,Poland,2019,USD,338.0
Active labour market programmes,Total,Portugal,2000,USD,253.0
Active labour market programmes,Total,Portugal,2005,USD,250.0
Active labour market programmes,Total,Portugal,2010,USD,197.0
Active labour market programmes,Total,Portugal,2015,USD,318.0
Active labour market programmes,Total,Portugal,2019,USD,159.0
Active labour market programmes,Total,Slovakia,2000,USD,1.0
Active labour market programmes,Total,Slovakia,2005,USD,15.0
Active labour market programmes,Total,Slovakia,2010,USD,70.0
Active labour market programmes,Total,Slovakia,2015,USD,72.0
Active labour market programmes,Total,Slovakia,2019,USD,108.0
Active labour market programmes,Total,Spain,2000,USD,2208.0
Active labour market programmes,Total,Spain,2005,USD,3021.0
Active labour market programmes,Total,Spain,2010,USD,3117.0
Active labour market programmes,Total,Spain,2015,USD,700.0
Active labour market programmes,Total,Spain,2019,USD,1117.0
Active labour market programmes,Total,Sweden,2000,USD,1024.0
Active labour market programmes,Total,Sweden,2005,USD,1277.0
Active labour market programmes,Total,Sweden,2010,USD,1632.0
Active labour market programmes,Total,Sweden,2015,USD,2337.0
Active labour market programmes,Total,Sweden,2019,USD,2155.0
Active labour market programmes,Total,Switzerland,2000,USD,274.0
Active labour market programmes,Total,Switzerland,2005,USD,428.0
Active labour market programmes,Total,Switzerland,2010,USD,500.0
Active labour market programmes,Total,Switzerland,2015,USD,514.0
Active labour market programmes,Total,Switzerland,2019,USD,563.0
Active labour market programmes,Total,United Kingdom,2000,USD,220.0
Active labour market programmes,Total,United Kingdom,2005,USD,205.0
Active labour market programmes,Total,United Kingdom,2010,USD,242.0
Active labour market programmes,Total,USA,2000,USD,440
Active labour market programmes,Total,USA,2005,USD,310
Active labour market programmes,Total,USA,2010,USD,1164
Active labour market programmes,Total,USA,2015,USD,750
Active labour market programmes,Total,USA,2019,USD,1779
Active labour market programmes,Total,USA,2020,USD,524989
Active labour market programmes,Total,Chile,2005,USD,50.0
Active labour market programmes,Total,Chile,2010,USD,62.0
Active labour market programmes,Total,Chile,2015,USD,76.0
Active labour market programmes,Total,Chile,2019,USD,82.0
Active labour market programmes,Total,Chile,2020,USD,76.0
Active labour market programmes,Total,Chile,2021,USD,83.0
Active labour market programmes,Total,Estonia,2005,USD,1.0
Active labour market programmes,Total,Estonia,2010,USD,10.0
Active labour market programmes,Total,Estonia,2015,USD,3.0
Active labour market programmes,Total,Estonia,2019,USD,13.0
Active labour market programmes,Total,Israel,2000,USD,16.0
Active labour market programmes,Total,Israel,2005,USD,22.0
Active labour market programmes,Total,Israel,2010,USD,12.0
Active labour market programmes,Total,Israel,2015,USD,20.0
Active labour market programmes,Total,Israel,2019,USD,43.0
Active labour market programmes,Total,Israel,2020,USD,42.0
Active labour market programmes,Total,Israel,2021,USD,60.0
Active labour market programmes,Total,Slovenia,2005,USD,12.0
Active labour market programmes,Total,Slovenia,2010,USD,35.0
Active labour market programmes,Total,Slovenia,2015,USD,8.0
Active labour market programmes,Total,Slovenia,2019,USD,27.0
Active labour market programmes,Total,Australia,2000,USD,230.0
Active labour market programmes,Total,Australia,2005,USD,347.0
Active labour market programmes,Total,Australia,2010,USD,642.0
Active labour market programmes,Total,Australia,2015,USD,660.0
Active labour market programmes,Total,Australia,2019,USD,821.0
Active labour market programmes,Total,Austria,2000,USD,58.0
Active labour market programmes,Total,Austria,2005,USD,93.0
Active labour market programmes,Total,Austria,2010,USD,105.0
Active labour market programmes,Total,Austria,2015,USD,79.0
Active labour market programmes,Total,Austria,2019,USD,99.0
Active labour market programmes,Total,Belgium,2000,USD,314.0
Active labour market programmes,Total,Belgium,2005,USD,397.0
Active labour market programmes,Total,Belgium,2010,USD,521.0
Active labour market programmes,Total,Belgium,2015,USD,624.0
Active labour market programmes,Total,Belgium,2019,USD,721.0
Active labour market programmes,Total,Canada,2000,USD,159.0
Active labour market programmes,Total,Canada,2005,USD,185.0
Active labour market programmes,Total,Canada,2010,USD,186.0
